Atoms/Second,Emissions (gCO2eq),Energy (kWh),GPU Power (W)
6.3661946436632935,0.0087230925406602,0.08869618640603,84.68742349512664
7.452498009095178,0.0095052177802238,0.0966488162466328,82.87579828636827
3.698760674697912,0.0047514916242022,0.0483130477915385,82.7670257411409
3.648191148053969,0.0054093474349759,0.0550021091936387,93.68873931065764
2.2622609133772014,0.0027751164311559,0.0282173143445309,85.61745708842977
8.992941049792817,0.0083716708171238,0.0851229391255933,36.2397876122576
4.585621436288965,0.0056421038494416,0.0573687705844719,87.94462827172076
23.23193444980186,0.021623620252443,0.2198684289710322,36.53836819455921
9.43804160319856,0.0135794637382797,0.1380756470724345,83.95354982370151
23.22876724110969,0.0216258697595436,0.2198913019028721,36.10414995240172
9.251523294474644,0.0124619915817445,0.1267132181818089,84.44396215254838
2.3119515588331456,0.002833101594417,0.0288069060318164,84.6343704262437
