Model,Model,Energy,Energy,Energy,Forces,Forces,Forces
Name,Org,R2,MAE,RMSE,R2,MAE,RMSE
GRACE-2L-MPtrj,grace,0.9509186948,0.09916356628570802,102.56077950426868,0.381610163,0.4865462747679091,583.60425918525
GRACE-2L-OAM,grace,0.9509186948,0.09916356628570802,102.56077950426868,0.381610163,0.4865462747679091,583.60425918525
GRACE-1L-OAM,grace,0.9136353824,0.12643722863006704,136.04769518432585,0.3985194647,0.48451879174172097,575.5698944083308
DPA3-v2-MPtrj,deepmd,0.91424253,0.12927799614960891,135.56864068485856,-0.6497264652,0.6793223617846751,953.2202322334572
DPA3-v2-OpenLAM,deepmd,0.9494327506,0.09851702272612518,104.10172517875883,0.541491836,0.39095168006096714,502.52863936892646
MACE-MPA-0,mace,0.9613953904,0.08774195234049101,90.95840659514927,0.0908303205,0.5530343757794097,707.635729385825
MACE-MP-0,mace,0.7500776981,0.2166634237070639,231.43325716203373,0.4494415053,0.429281265068588,550.6669540487569
MatterSim-v1.0.0-5M,mattersim,0.931370436,0.1170702593093868,121.27712178489007,0.5257212565,0.33054451988360817,511.0979173899495
SevenNet-MF-ompa,sevenn,0.9584747458,0.0915423758443171,94.33642438097573,0.7443684416,0.2912917500346404,375.2273747014324
SevenNet-l3i5,sevenn,0.9427892628,0.10686240400713139,110.72916720331425,0.1670053643,0.5663473929610642,677.3425888386174
ORB,orb,0.9459035212,0.10338377002182053,107.6732346662783,0.4720406796,0.43607867518480153,539.2467192644132
ORB-V3,orb,0.9956984065,0.017384277431933815,30.362529091158237,0.7809502285,0.23292265027098977,347.34310575683145
ORB-MPTrj,orb,0.9459035468,0.10338375367249299,107.67320923205637,0.4720423147,0.4360754853566699,539.2458842403856
